id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Highway,The Dust Devils,country,driving,0.88,140,0.75,0.65,0.25
12,Ocean Deep,Coral Orchestra,classical,peaceful,0.15,55,0.30,0.10,0.95
13,City Beat,MC Flow,hip-hop,groovy,0.85,95,0.80,0.90,0.15
14,Island Sun,The Irie Vibes,reggae,relaxed,0.65,85,0.85,0.75,0.40
15,Final Stand,Titan Project,electronic,epic,0.95,128,0.40,0.60,0.02
16,Lost Love,Willow Creek,folk,sad,0.25,65,0.20,0.45,0.88
17,First Dance,The Romantics,pop,romantic,0.60,110,0.70,0.68,0.30
18,Bass Drop,DJ Fuse,electronic,intense,0.92,140,0.55,0.80,0.08
19,Sunday Morning,Acoustic Moods,acoustic,peaceful,0.22,80,0.65,0.55,0.91
20,Galactic Dreams,Star Voyager,ambient,moody,0.33,68,0.42,0.35,0.85
